https://bit.ly/2qTKREN ,I make a salutation to all Victors with a measure of bodies the same as there are atoms in a (Buddha) field, with a mind directed towards all Victors, with the strength of (my) Aspiration for the Good Life,Kṣetra-rajopama-kāyă-pramāṇaiḥ sarva-Jināna karomĭ praṇāmam, sarva-Jinābhimukhena manena, Bhadra-carī-praṇidhāna-balena [2]
https://bitly/2qTKREN ,On the tip of each single atom Buddhas like atoms sit in the midst of the Sons of Buddhas (and) so I am totally and completely intent on the Dharma Element which is filled with Victors,Eka-rajāgri rajopama-Buddhā Buddha-sutāna niṣaṇṇaku madhye evam-aśeṣata Dharmata-dhātuṁ sarvadhimucyami  pūrṇa Jinebhiḥ [3]
https//bitly/2xgEaQC, 6 Those who were wearing gay-coloured dresses were ashamed when they saw him those who were talking on random subjects fell to silence on the road no one indulged in an improper thought as at the presence of Religion herself embodied,taṁ jihriyuḥ prekṣya vicitraveṣāḥ prakīrṇavācaḥ pathi maunamīyuḥ |dharmasya sākṣādiva saṁnikarṣānna kaścidanyāyamatirbabhūva || 106
https//bitly/2xgEaQC, 7 In the men and the women on the highway even though they were intent on other business that conduct alone with the profoundest reverence seemed proper which is enjoined by the rules of royal homage but his eyes never looked upon them,anyakriyāṇāmapi rājamārge strīṇāṁ nṛṇāṁ vā bahumānapūrvam |tadeva kalpaṁ naradevasūtraṁ nirīkṣamāṇā na tu tasya dṛṣṭiḥ || 107
https//bitly/2xgEaQC, 8 His brows his forehead his mouth or his eyes — his body his hands his feet or his gait — whatever part of him any one beheld that at once riveted his eyes,bhruvau lalāṭaṁ mukhamīkṣaṇaṁ vā vapuḥ karau vā caraṇau gatiṁ vā |yadeva yastasya dadarśa tatra tadeva tasyānubabaṁdha cakṣuḥ || 108
https//bitly/2xgEaQC, 9 Having beheld him with the beautiful circle of hair between his brows 04 and with long eyes with his radiant body and his hands showing a graceful membrane between the fingers — so worthy of ruling the earth and yet wearing a mendicant’s dress — the Goddess of Rājagṛha was herself perturbed,dṛṣṭvā śubhorṇabhruvamāyatākṣaṁ jvalaccharīraṁ śubhajālahastam |taṁ bhikṣuveśaṁ kṣitipālanārhaṁ saṁcukṣubhe rājagṛhasya lakṣmīḥ || 109
https//bitly/2xgEaQC, 10 Then Śreṇya 05 the lord of the court of the Magadhas beheld from the outside of his palace the immense concourse of people and asked the reason of it and thus did a man recount it to him,śreṇyo tha bhartā magadhājirasya vāhyādvimānādvipulaṁ janaugham |dadarśa papraccha ca tasya hetuṁ tatastamasmai puruṣaḥ śaśaṁsa || 1010
https//bitly/2xgEaQC, 11 He who was thus foretold by the Brāhmans he will either attain supreme wisdom or the empire of the earth — it is he the son of the king of the Śākyas who is the ascetic whom the people are gazing at’,jñānaṁ paraṁ vā pṛthivīśriyaṁ vā viprairya ukto dhigamiṣyatīti |sa eva śākyādhipatestanūjo nirīkṣyate pravrajito janena || 1011
https//bitly/2xgEaQC, 12 The king having heard this and perceived its meaning with his mind thus at once spoke to that man Let it be known whither he is going’ and the man receiving the command followed the prince,tataḥ śrutārtho manasā gatārtho rājā babhāṣe puruṣaṁ tameva |vijñāyatāṁ kva pratigacchatīti tathetyathainaṁ puruṣo nvagacchat || 1012
https//bitly/2xgEaQC, 13 With unrestless eyes seeing only a yoke’s length before him 06 with his voice hushed and his walk slow and measured he the noblest of mendicants went begging alms keeping his limbs and his wandering thoughts under control,alolacakṣuryugamātradarśī nivṛttavāgyaṁtritamaṁdagāmī |cacāra bhikṣāṁ sa tu bhikṣuvaryo nidhāya gātrāṇi calaṁ ca cetaḥ || 1013
https//bitly/2xgEaQC, 14 Having received such alms as were offered he retired to a lonely cascade of the mountain and having eaten it there in the fitting manner he ascended the mountain Pāṇḍava 07,ādāya bhaikṣaṁ ca yathopapannaṁ yayau gireḥ prasravaṇaṁ viviktam |nyāyena tatrābhyavahṛtya cainanmahīdharaṁ pāṁḍavamāruroha || 1014
https//bitly/2xgEaQC, 15 In that wood thickly filled with lodhra trees having its thickets resonant with the notes of the peacocks he the sun of mankind shone wearing his red dress like the morning sun above the eastern mountain,tasminvane lodhravanopagūḍhe mayūranādapratipūrṇakuṁje |kāṣāyavāsāḥ sa babhau nṛsūryo yathodayasyopari bālasūryaḥ || 1015
https//bitly/2xgEaQC, 16 That royal attendant having thus watched him there related it all to the king Śreṇya and the king when he heard it in his deep veneration started himself to go thither with a modest retinue,tatraivamālokya sa rājabhṛtyaḥ śreṇyāya rājñe kathayāṁ cakāra |saṁśrutya rājā sa ca bāhumānyāttatra pratasthe nibhṛtānuyātraḥ || 1016
https//bitly/2xgEaQC, 17 He who was like the Pāṇḍavas in heroism and like a mountain in stature ascended Pāṇḍava that noblest of mountains — a crown-wearer of lion-like gait a lion among men as a maned lion ascends a mountain,sa pāṁḍavaṁ pāṁḍavatulyavīryaḥ śailottamaṁ śailasamānavarṣmā |maulīdharaḥ siṁhagatirnṛsiṁhaścalatsaṭaḥ siṁha ivāruroha || 1017
https//bitly/2xgEaQC, 18 There he beheld the Bodhisattva resplendent as he sat on his hams with subdued senses as if the mountain were moving 08 and he himself were a peak thereof — like the moon rising from the top of a cloud,calasya tasyopari śṛṁgabhūtaṁ śāṁteṁdriyaṁ paśyati bodhisattvam |paryaṁkamāsthāya virocamānaṁ śaśāṁkamudyaṁtamivābhrakūṭāt || 1018
https//bitly/2xgEaQC, 19 Him distinguished by his beauty of form and perfect tranquillity as the very creation of Religion herself — filled with astonishment and affectionate regard the king of men approached as Indra the self-existent (Brahman),taṁ rūpalakṣmyā ca śamena caiva dharmasya nirmāṇamivopadiṣṭam |savismayaḥ praśrayavān nareṁdraḥ svayaṁbhuvaṁ śakra ivopatasthe || 1019
https//bitly/2xgEaQC, 20 He the chief of the courteous having courteously drawn nigh to him inquired as to the equilibrium of his bodily humours and the other with equal gentleness assured the king of his health of mind and freedom from all ailments,taṁ nyāyato nyāyavatāṁ variṣṭhaḥ sametya papraccha ca dhātusāmyam |sa cāpyavocatsadṛśena sāmnā nṛpaṁ manaḥsvāsthyamanāmayaṁ ca || 1020
https//bitly/2xgEaQC, 21 Then the king sat down on the clean surface of the rock dark blue like an elephant’s ear and being seated 09 with the other’s assent he thus spoke desiring to know his state of mind,tataḥ śucau vāraṇakarṇanīle śilātale sau niṣasāda rājā |nṛpopaviśyānumataśca tasya bhāvaṁ vijijñāsuridaṁ babhāṣe || 1021
https//bitly/2xgEaQC, 22 I have a strong friendship with thy family come down by inheritance and well proved since from this a desire to speak to thee my son has arisen in me therefore listen to my words of affection,prītiḥ parā me bhavataḥ kulena kramāgatā caiva parīkṣitā ca |jātā vivakṣā suta yā yato me tasmādidaṁ snehavaco nibodha || 1022
https//bitly/2xgEaQC, 23 When I consider thy widespread race beginning with the sun thy fresh youth and thy conspicuous beauty — whence comes this resolve of thine so out of all harmony with the rest set wholly on a mendicant’s life not on a kingdom,ādityapūrvaṁ vipulaṁ kulaṁ te navaṁ vayo dīptamidaṁ vapuśca |kasmādiyaṁ te matirakrameṇa bhaikṣāka evābhiratā na rājye || 1023
https//bitly/2xgEaQC, 24 Thy limbs are worthy of red sandal-wood 10 perfumes — they do not deserve the rough contact of red cloth this hand is fit to protect subjects it deserves not to hold food given by another,gātraṁ hi te lohitacaṁdanārhaṁ kāṣāyasaṁśleṣamanarhametat |hastaḥ prajāpālanayogya eṣa bhoktuṁ na cārhaḥ paradattamannam || 1024
https//bitly/2xgEaQC, 25 If therefore gentle youth through thy love for thy father thou desirest not thy paternal kingdom in thy generosity — then at any rate thy choice must not be excused — accepting forthwith one half of my kingdom,tatsaumya rājyaṁ yadi paitṛkaṁ tvaṁ snehātpiturnecchasi vikrameṇa |na ca kṣamaṁ marṣayituṁ matiste bhuktvārdhamasmadviṣayasya śīghram || 1025
https//bitly/2xgEaQC, 26 If thou actest thus there will be no violence shown to thine own people and by the mere lapse of time imperial power at last flies for refuge to the tranquil mind therefore be pleased to do me a kindness — the prosperity of the good becomes very powerful when aided by the good 11,evaṁ hi na syātsvajanāvamardaḥ kālakrameṇāpi śamaśrayā śrīḥ |tasmātkuruṣva praṇayaṁ mayi tvaṁ sadbhiḥ sahīyā hi satāṁ samṛddhiḥ || 1026
https//bitly/2xgEaQC, 27 But if from thy pride of race thou dost not now feel confidence in me then plunge with thy arrows into countless armies and with me as thy ally seek to conquer thy foes,atha tvidānīṁ kulagarvitatvādasmāsu viśraṁbhaguṇo na te sti |vyūhānyanekāni vigāhya vāṇairmayā sahāyena parāñjigīṣa || 1027
https//bitly/2xgEaQC, 28 Choose thou therefore one of these ends pursue according to rule religious merit wealth and pleasure for these love and the rest in reverse order are the three objects in life when men die they pass into dissolution as far as regards this world,tadbuddhimatrānyatarāṁ vṛṇīṣva dharmārthakāmān vidhivadbhajasva |vyatyasya rāgādi ha hi trivargaṁ pretyeha vibhraṁśamavāpnuvaṁti || 1028
https//bitly/2xgEaQC, 29 That which is pleasure when it has overpowered wealth and merit is wealth when it has conquered merit and pleasure so too it is merit when pleasure and wealth fall into abeyance but all would have to be alike abandoned if thy desired end 12 were obtained,yo hyarthadharmau paripīḍya kāmaḥ syāddharmakāmye paribhūya cārthaḥ |kāmārthayoścoparameṇa dharmastyājyaḥ sa kṛtsno yadi kāṁkṣitārthaḥ || 1029
https//bitly/2xgEaQC, 30 Do thou therefore by pursuing the three objects of life cause this beauty of thine to bear its fruit they say that when the attainment of religion wealth and pleasure is complete in all its parts then the end of man is complete,tasmāttrivargasya niṣevaṇena tvaṁ rūpametatsaphalaṁ kuruṣva |dharmārthakāmādhigamaṁ hyanūnaṁ nṛṇāmanūnaṁ puruṣārthamāhuḥ || 1030
https//bitly/2xgEaQC, 31 Do not thou let these two brawny arms lie useless which are worthy to draw the bow they are well fitted like Māndhātṛ’s to conquer the three worlds much more the earth,tanniṣphalau nārhasi kartumetau pīnau bhujau cāpavikarṣaṇārhau |māṁdhātṛvajjetumimau hi yogyau lokāni hi trīṇi hi kiṁ punargām || 1031
https//bitly/2xgEaQC, 32 I speak this to you out of affection — not through love of dominion or through astonishment beholding this mendicant-dress of thine I am filled with compassion and I shed tears,snehena khalvetadahaṁ bravīmi naiśvaryarāgeṇa na vismayena |imaṁ hi dṛṣṭvā tava bhikṣuveśaṁ jātānukaṁpo smyapi cāgatāśruḥ || 1032
https//bitly/2xgEaQC, 33 O thou who desirest the mendicant’s stage of life enjoy pleasures now in due time O thou lover of religion thou shalt practise religion — ere old age comes on and overcomes this thy beauty well worthy of thy illustrious race,tadbhuṁkṣva bhikṣāśramakāma kāmānkāle si kartā priyadharma dharmam |yāvatsvavaṁśapratirūparūpaṁ na te jarābhyetyabhibhūya bhūyaḥ || 1033
https//bitly/2xgEaQC, 34 The old man can obtain merit by religion old age is helpless for the enjoyment of pleasures therefore they say that pleasures belong to the young man wealth to the middle-aged and religion to the old,śaknoti jīrṇaḥ khalu dharmamāptuṁ kāmopabhogeṣvagatirjarāyāḥ |ataśca yūnaḥ kathayaṁti kāmānmadhyasya vittaṁ sthavirasya dharmam || 1034
https//bitly/2xgEaQC, 35 Youth in this present world is the enemy of religion and wealth — since pleasures however we guard them are hard to hold therefore wherever pleasures are to be found there they seize them,dharmasya cārthasya ca jīvaloke pratyarthibhūtāni hi yauvanāni |saṁrakṣyamāṇānyapi durgrahāṇi kāmā yatastena yathā haraṁti || 1035
https//bitly/2xgEaQC, 36 Old age is prone to reflection’ 13 it is grave and intent on remaining quiet it attains unimpassionedness with but little effort unavoidably and for very shame,vayāṁsi jīrṇāni vimarśayaṁti dhīrāṇyavasthānaparāyaṇāni |alpena yatnena śamātmakāni bhavaṁtyagatyeva ca lajjayā ca || 1036
https//bitly/2xgEaQC, 37 Therefore having passed through the deceptive period of youth fickle intent on external objects heedless impatient not looking at the distance — they take breath like men who have escaped safe through a forest,ataśca lolaṁ viṣayapradhānaṁ pramattamakṣāṁtamadīrghadarśi |bahucchalaṁ yauvanamabhyatītya nistīrya kāṁtāramivāśvasaṁti || 1037
https//bitly/2xgEaQC, 38 Let therefore this fickle time of youth first pass by reckless and giddy — our early years are the mark for pleasure they cannot be kept from the power of the senses,tasmādadhīraṁ capalapramādi navaṁ vayastāvadidaṁ vyapaitu |kāmasya pūrvaṁ hi vayaḥ śaravyaṁ na śakyate rakṣitumiṁdriyebhyaḥ || 1038
https//bitly/2xgEaQC, 39 Or if religion is really thy one aim then offer sacrifices — this is thy family’s immemorial custom — climbing to highest heaven by sacrifices even Indra the lord of the winds went thus to highest heaven,athau cikīrṣā tava dharma eva yajasva yajñaṁ kuladharma eṣaḥ |yajñairadhiṣṭhāya hi nākapṛṣṭhaṁ yayau marutvānapi nākapṛṣṭham || 1039
https//bitly/2xgEaQC, 40 With their arms pressed 14 by golden bracelets and their variegated diadems resplendent with the light of gems royal sages have reached the same goal by sacrifices which great sages reached by self-mortification’,suvarṇakeyūravidaṣṭabāhavo maṇipradīpojjvalacitramaulayaḥ |nṛparṣayastāṁ hi gatiṁ gatā makhaiḥ śrameṇa yāmeva mahārṣayo yayuḥ || 1040
https//bitly/2xgEaQC, 41 Thus spoke the monarch of the Magadhas who spoke well and strongly like Indra 16 but having heard it the prince did not falter (firm) like the mountain Kailāsa having its many summits variegated (with lines of metals),ityevaṁ magadhapatir 15 babhāṣe yaḥ samyagvalabhidiva dhruvaṁ babhāṣe |tacchrutvā na sa vicacāra rājasūnuḥ kailāso giririva naikacitrasānuḥ || 1041
https//bitly/2iisXd4, 1 Being thus addressed by the monarch of the Magadhas in a hostile speech with a friendly face self-possessed unchanged pure by family and personal purity the son of Śuddhodana thus made answer,athaivamukto magadhādhipena suhṛnmukhena pratikūlamartham |svastho vikāraḥ kulaśaucaśuddhaḥ śauddhodanirvākyamidaṁ jagāda || 111
https//bitly/2iisXd4, 2 This is not to be called a strange thing for thee born as thou art in the great family whose ensign is the lion 01 — that by thee of pure conduct O lover of thy friends this line of conduct should be adopted towards him who stands as one of thy friends,nāścaryametadbhavato bhidhātuṁ jātasya haryaṁkakule viśāle |yanmitrapakṣe tava mitrakāma syādvṛttireṣā pariśuddhavṛtteḥ || 112
https//bitly/2iisXd4, 3 Amongst the bad a friendship worthy of their family ceases to continue (and fades) like prosperity among the faint-hearted it is only the good who keep increasing the old friendship of their ancestors by a new succession of friendly acts,asatsu maitrī svakulānurūpā na tiṣṭhati śrīriva viklaveṣu |pūrvaiḥ kṛtāṁ prītiparaṁparābhistāmeva saṁtastu vivardhayaṁti || 113
https//bitly/2iisXd4, 4 But those men who act unchangingly towards their friends in reverses of fortune I esteem in my heart as true friends who is not the friend of the prosperous man in his times of abundance,ye cārthakṛcchreṣu bhavaṁti loke samānakāryāḥ suhṛdāṁ manuṣyāḥ |mitrāṇi tānīti paraimi buddhyā svasthasya vṛddhiṣviha ko hi na syāt || 114
https//bitly/2iisXd4, 5 So those who having obtained riches in the world employ them for the sake of their friends and religion — their wealth has real solidity and when it perishes it produces no pain at the end,evaṁ ca ye dravyamavāpya loke mitreṣu dharme ca niyojayaṁti |avāptasārāṇi dhanāni teṣāṁ bhraṣṭāni nāṁte janayaṁti tāpam || 115
https//bitly/2iisXd4, 6 This thy determination concerning me O king is prompted by pure generosity and friendship 02 I will meet thee courteously with simple friendship I would not utter aught else in my reply,suhṛttayā cāryatayā ca rājan vibhāvya māmeva viniścayaste |atrānuneṣyāmi suhṛttayaiva brūyāmahaṁ nottaramanyadatra || 116
https//bitly/2iisXd4, 7 I having experienced the fear of old age and death fly to this path of religion in my desire for liberation leaving behind my dear kindred with tears in their faces — still more then those pleasures which are the causes of evil,ahaṁ jarāmṛtyubhayaṁ viditvā mumukṣayā dharmamimaṁ prapannaḥ |baṁdhūnpriyānaśrumukhān vihāya prāgeva kāmānaśubhasya hetūn || 117
https//bitly/2iisXd4, 8 I am not so afraid even of serpents nor of thunderbolts falling from heaven nor of flames blown together by the wind as I am afraid of these worldly objects,nāśīviṣebhyo pi tathā bibhemi naivāśanibhyo gaganāccyutebhyaḥ |na pāvakebhyo nilasaṁhitebhyo yathā bhayaṁ me viṣayebhya ebhyaḥ || 118
https//bitly/2iisXd4, 9 These transient pleasures — the robbers of our happiness and our wealth and which float empty and like illusions through the world — infatuate men’s minds even when they are only hoped for — still more when they take up their abode in the soul,kāmā hyanityāḥ kuśalārthacaurā riktāśca māyāsadṛśāśca loke |āśāsyamānā api mohayaṁti cittaṁ nṛṇāṁ kiṁ punarātmasaṁsthāḥ || 119
https//bitly/2iisXd4, 10 The victims of pleasure attain not to happiness even in the heaven of the gods still less in the world of mortals he who is athirst is never satisfied with pleasures as the fire the friend of the wind with fuel,kāmābhibhūtā hi na yāṁti śarma tripiṣṭape kiṁ vata martyaloke |kāmaiḥ satṛṣṇasya hi nāsti tṛptiryatheṁdhanairvātasakhasya vahneḥ || 1110
https//bitly/2iisXd4, 11 There is no calamity in the world like pleasures — people are devoted to them through delusion when he once knows the truth and so fears evil what wise man would of his own choice desire evil,jagatyanartho na samo sti kāmairmohācca teṣveva janaḥ prasaktaḥ |tattvaṁ viditvaivamanarthabhīruḥ prājñaḥ svayaṁ ko bhilaṣedanartham || 1111
https//bitly/2iisXd4, 12 When they have obtained all the earth girdled by the sea kings wish to conquer the other side of the great ocean mankind are never satiated with pleasures as the ocean with the waters that fall into it,samudravastrāmapi gāmavāpya pāraṁ jigīṣaṁti mahārṇavasya |lokasya kāmairna vitṛptirasti patadbhiraṁbhobhirivārṇavasya || 1112
https//bitly/2iisXd4, 13 When it had rained a golden shower from heaven and when he had conquered the continents and the four oceans and had even obtained the half of Śakra’s throne 03 Māndhātṛ was still unsatisfied with worldly objects,devena vṛṣṭe pi hiraṇyavarṣe dvīpānsamudrāṁścaturo pi jitvā |śakrasya cārdhāsanamapyavāpya māṁdhāturāsīdviṣayeṣvatṛptiḥ || 1113
https//bitly/2iisXd4, 14 Though he had enjoyed the kingdom of the gods in heaven when Indra had concealed himself through fear of Vṛtra and though in his pride he had made the great Ṛṣis bear his litter 04 Nahuṣa fell unsatisfied with pleasures,bhuktvāpi rājyaṁ divi devatānāṁ śatakratau vṛtrabhayātpranaṣṭe |darpānmahārṣīnapi vāhayitvā kāmeṣvatṛpto nahuṣaḥ papāta || 1114
https//bitly/2iisXd4, 15 King (Purūravas) the son of Iḍā having penetrated into the furthest heaven and brought the goddess Urvaśī into his power — when he wished in his greed to take away gold from the Ṛṣis 05 — being unsatisfied with pleasures fell into destruction,aiḍaśca rājā tridivaṁ vigāhya nītvāpi devīṁ vaśamurvaśīṁ tām |lobhādṛṣibhyaḥ kanakaṁ jihīrṣurjagāma nāśaṁ viṣayeṣvatṛptaḥ || 1115
https//bitly/2iisXd4, 16 Who would put his trust in these worldly objects whether in heaven or in earth unsettled as to lot or family — which passed from Bali to Indra and from Indra to Nahuṣa and then again from Nahuṣa back to Indra,balermaheṁdraṁ nahuṣaṁ maheṁdrādiṁdraṁ punarye nahuṣādupeyuḥ |svarge kṣitau vā viṣayeṣu teṣu ko viśvasedbhāgyakulākuleṣu || 1116
https//bitly/2iisXd4, 17 Who would seek these enemies bearing the name of pleasures by whom even those sages have been overcome who were devoted to other pursuits whose only clothes were rags whose food was roots fruits and water and who wore their twisted locks as long as snakes,cīrāṁbarā mūlaphalāṁbubhakṣā jaṭā vahaṁto pi bhujaṁgadīrghāḥ |yairanyakāryā munayo pi bhagnāḥ kaḥ kāmasaṁjñān mṛgayeta śatrūn || 1117
https//bitly/2iisXd4, 18 Those pleasures for whose sake even Ugrāyudha 06 armed terribly as he was with his weapon found death at Bhiṣma’s hands — is not the mere thought of them unlucky and fatal — still more the thought of the irreligious whose lives are spent in their service,ugrāyudhaścaugradhṛtāyudho pi yeṣāṁ kṛte mṛtyumavāpa bhīṣmāt |ciṁtāpi teṣāmaśivā vadhāya tadvṛttināṁ kiṁ punaravratānām || 1118
https//bitly/2iisXd4, 19 Who that considers the paltry flavour of worldly objects — the very height of union being only insatiety — the blame of the virtuous and the certain sin — has ever drawn near this poison which is called pleasure,āsvādamalpaṁ viṣayeṣu matvā saṁyojanotkarṣamatṛptimeva |sadbhyaśca garhāṁ niyataṁ ca pāpaṁ kaḥ kāmasaṁjñaṁ viṣamāsasāda || 1119
https//bitly/2iisXd4, 20 When they hear of the miseries of those who are intent on pleasure and are devoted to worldly pursuits 07 such as agriculture and the rest and the self-content of those who are careless of pleasure — it well befits the self-controlled to fling it away 08,kṛṣyādibhirdharmabhiranvitānāṁ kāmātmakānāṁ ca niśamya duḥkham |svāsthyaṁ ca kāmeṣvakutūhalānāṁ kāmān vihātuṁ kṣamamātmavadbhiḥ || 1120
https//bitly/2iisXd4, 21 Success in pleasure is to be considered a misery in the man of pleasure for he becomes intoxicated when his desired pleasures are attained through intoxication he does what should not be done not what should be done and being wounded thereby he falls into a miserable end,jñeyā vipatkāmini kāmasaṁpatsiddheṣu kāmeṣu madaṁ hyupaiti |madādakāryaṁ kurute na kāryaṁ yena kṣato durgatimabhyupaiti || 1121
https//bitly/2iisXd4, 22 These pleasures which are gained and kept by toil — which after deceiving leave you and return whence they came — these pleasures which are but borrowed for a time 09 what man of self-control if he is wise would delight in them,yatnena labdhāḥ parirakṣitāśca ye vipralabhya pratiyāṁti bhūyaḥ |teṣvātmavān yācitakopameṣu kāmeṣu vidvāniha ko rameta || 1122
https//bitly/2iisXd4, 23 What man of self-control could find satisfaction in these pleasures which are like a torch of hay — which excite thirst when you seek them and when you grasp them and which they who abandon not keep only as misery 10,anviṣya cādāya ca jātatarṣā yānatyajaṁtaḥ pariyāṁti duḥkham |loke tṛṇolkāsadṛśeṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1123
https//bitly/2iisXd4, 24 Those men of no self-control who are bitten by them in their hearts fall into ruin and attain not bliss — what man of self-control could find satisfaction in these pleasures which are like an angry cruel serpent,anātmavaṁto hṛdi yairvidaṣṭā vināśamarchaṁti na yāṁti śarma |kruddhaugrasarpapratimeṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1124
https//bitly/2iisXd4, 25 Even if they enjoy them men are not satisfied like dogs famishing with hunger over a bone — what man of self-control could find satisfaction in these pleasures which are like a skeleton composed of dry bones,asthi kṣudhārttā iva sārameyā bhuktvāpi yānnaiva bhavaṁti tṛptāḥ |jīrṇāsthikaṁkālasameṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1125
https//bitly/2iisXd4, 26 What man of self-control could find satisfaction in these pleasures which are like flesh that has been flung away and which produce misery by their being held only in common with kings thieves water and fire 11,ye rājacaurodakapāvakebhyaḥ sādhāraṇatvājjanayaṁti duḥkham |teṣu praviddhāmiṣasaṁnibheṣu kāmeṣu kasyātmavato ratiḥ syāt || 1126
https//bitly/2iisXd4, 27 What man of self-control could find satisfaction in these pleasures which like the senses 12 are destructive and which bring calamity on every hand to those who abide in them from the side of friends even more than from open enemies,yatra sthitānāmabhito vipattiḥ śatroḥ sakāśādapi bāṁdhavebhyaḥ |hiṁsreṣu teṣvāyatanopameṣu kāmeṣu kasyātmavato ratiḥ syāt || 1127
https//bitly/2iisXd4, 28 What man of self-control could find satisfaction in those pleasures which are like the fruit that grows on the top of a tree — which those who would leap up to reach fall down upon a mountain or into a forest waters or the ocean,girau vane cāpsu ca sāgare ca yadbhraṁśamarchaṁtyabhilaṁghamānāḥ |teṣu drumaprāgraphalopameṣu kāmeṣu kasyātmavato ratiḥ syāt || 1128
https//bitly/2iisXd4, 29 What man of self-control could find satisfaction in those pleasures which are like snatching up a hot coal — men never attain happiness however they pursue them increase them or guard them,tīrthaiḥ prayatnairvividhairavāptāḥ kṣaṇena ye nāśamiha prayāṁti | 1129svapnopabhogapratimeṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt |
https//bitly/2iisXd4, 30 What man of self-control could find satisfaction in those pleasures which are like the enjoyments in a dream — which are gained by their recipients after manifold pilgrimages and labours and then perish in a moment,yānarcayitvāpi na yāṁti śarma vivardhayitvā paripālayitvā |aṁgārakarṣapratimeṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1130
https//bitly/2iisXd4, 31 What man of self-control could find satisfaction in those pleasures which are like a spear 13 sword or club — for the sake of which the Kurus the Vṛṣṇis and the Andhakas the Maithilas and the Daṇḍakas suffered destruction,vināśamīyuḥ kuravo yadarthaṁ vṛṣṇyaṁdhakā maithiladaṁḍakāśca |śūlāsikāṣṭhapratimeṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1131
https//bitly/2iisXd4, 32 What man of self-control could find satisfaction in those pleasures which dissolve friendships and for the sake of which the two Asuras Sunda and Upasunda perished victims engaged in mutual enmity,suṁdopasuṁdāvasurau yadarthamanyonyavairaprasṛtau vinaṣṭau |sauhārdaviśleṣakareṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1132
https//bitly/2iisXd4, 33 None however their intellect is blinded with pleasure give themselves up as in compassion to ravenous beasts 14 so what man of self-control could find satisfaction in those pleasures which are disastrous and constant enemies,kāmāṁdhasaṁjñāḥ kṛpayā va ke ca kravyātsu nātmānamihotsṛjaṁti |sapatnabhūteṣvaśiveṣu teṣu kāmeṣu kasyātmavato ratiḥ syāt || 1133
https//bitly/2iisXd4, 34 He whose intellect is blinded with pleasure does pitiable things he incurs calamities such as death bonds and the like the wretch who is the miserable slave of hope for the sake of pleasure well deserves the pain of death even in the world of the living,kāmāṁdhasaṁjñaḥ kṛpaṇaṁ karoti prāpnoti duḥkhaṁ vadhabaṁdhanādi |kāmārthamāśākṛpaṇastapasvī mṛtyuśramaṁ cārhati jīvaloke || 1134
https//bitly/2iisXd4, 35 Deer are lured to their destruction by songs 15 insects for the sake of the brightness fly into the fire the fish greedy for the flesh swallows the iron hook — therefore worldly objects produce misery as their end,gītairhriyaṁte hi mṛgā vadhāya rūpārthamagnau śalabhāḥ pataṁti |matsyo giratyāyasamāmiṣārthī tasmādanarthaṁ viṣayāḥ phalaṁti || 1135
https//bitly/2iisXd4, 36 As for the common opinion pleasures are enjoyments none of them when examined are worthy of being enjoyed fine garments and the rest are only the accessories of things — they are to be regarded as merely the remedies for pain,kāmāstu bhogā iti yanmataṁ syādbhogyā na kecitparigaṇyamānāḥ |vastrādayo dravyaguṇā hi loke duḥkhapratīkāra iti pradhāryāḥ || 1136
https//bitly/2iisXd4, 37 Water is desired for allaying thirst food in the same way for removing hunger a house for keeping off the wind the heat of the sun and the rain and dress for keeping off the cold and to cover one’s nakedness,iṣṭaṁ hi tarṣapraśamāya toyaṁ kṣunnāśahetoraśanaṁ tathaiva |vātātapāṁbvāvaraṇāya veśma kaupīnaśītāvaraṇāya vāsaḥ || 1137
https//bitly/2iisXd4, 38 So too a bed is for removing drowsiness a carriage for remedying the fatigue of a journey a seat for alleviating the pain of standing so bathing as a means for washing health and strength,nidrāvighātāya tathaiva śayyā yānaṁ tathādhvaśramanāśanāya |tathāsanaṁ sthānavinodanāya snānaṁ mṛjārogyabalāśrayāya || 1138
https//bitly/2iisXd4, 39 External objects therefore are to human beings means for remedying pain not in themselves sources of enjoyment what wise man would allow that he enjoys those delights which are only used as remedial,duḥkhapratīkāranimittabhūtāstasmātprajānāṁ viṣayā na bhogyāḥ |aśnāmi bhogāniti ko bhyupeyātprājñaḥ pratīkāravidhau pravṛttān || 1139
https//bitly/2iisXd4, 40 He who when burned with the heat of bilious fever maintains that cold appliances are an enjoyment when he is only engaged in alleviating pain — he indeed might give the name of enjoyment to pleasures,yaḥ pittadāhena vidahyamānaḥ śītakriyāṁ bhoga iti vyavasyet |duḥkhapratīkāravidhau pravṛttaḥ kāmeṣu kuryātsa hi bhogasaṁjñām || 1140
